,longitude,latitude,ssrd,t2mmin,vpd,FPAR
1982-11-04,11.625,50.875,1.6918086,7.6362,113.58986,0.46133333
1982-11-05,11.625,50.875,1.9206917,0.8115845,488.32574,0.45666665
1982-11-06,11.625,50.875,7.407494,-2.4480286,622.1464,0.452
1982-11-07,11.625,50.875,7.4143248,-2.096405,692.511,0.44733334
1982-11-08,11.625,50.875,3.4072144,1.5989075,1027.0596,0.44266665
1982-11-09,11.625,50.875,4.534869,8.73056,1129.1931,0.438
1982-11-10,11.625,50.875,5.149529,8.241455,956.7523,0.43333334
1982-11-11,11.625,50.875,5.2693048,5.239563,822.71155,0.42866665
1982-11-12,11.625,50.875,5.6912003,4.3489685,718.0471,0.424
1982-11-13,11.625,50.875,3.2273235,5.646515,670.2387,0.41933334
1982-11-14,11.625,50.875,4.4938564,1.7174988,596.9755,0.41466665
1982-11-15,11.625,50.875,3.3363235,0.14346313,439.36588,0.41
1982-11-16,11.625,50.875,3.962125,-0.3984375,450.7606,0.408
1982-11-17,11.625,50.875,4.894894,1.2381592,437.50748,0.406
1982-11-18,11.625,50.875,2.0834758,3.8696594,598.3413,0.40399998
1982-11-19,11.625,50.875,4.2310905,5.998047,913.74646,0.402
1982-11-20,11.625,50.875,4.9243965,5.456299,868.87683,0.4
1982-11-21,11.625,50.875,3.3654046,3.8704224,688.5662,0.398
1982-11-22,11.625,50.875,3.3982725,4.631378,854.1274,0.396
1982-11-23,11.625,50.875,2.563577,7.9133606,1005.45184,0.394
1982-11-24,11.625,50.875,4.348737,4.9897766,1044.8403,0.392
1982-11-25,11.625,50.875,4.0950704,3.9474182,715.02576,0.39
1982-11-26,11.625,50.875,4.322157,3.392395,691.35803,0.38799998
1982-11-27,11.625,50.875,2.7325256,1.0654907,255.28453,0.386
1982-11-28,11.625,50.875,1.9457221,1.9460144,296.17615,0.384
1982-11-29,11.625,50.875,1.6608504,0.9078369,227.28459,0.382
1982-11-30,11.625,50.875,1.3815516,0.097351074,325.70197,0.38
1982-12-01,11.625,50.875,3.9705577,-1.9071655,370.0947,0.37266666
1982-12-02,11.625,50.875,4.042673,-2.3125916,297.76083,0.36533332
1982-12-03,11.625,50.875,2.5301628,-2.0997314,63.179142,0.35799998
1982-12-04,11.625,50.875,2.7440338,-1.6398315,124.42123,0.35066667
1982-12-05,11.625,50.875,3.5735059,-0.8814087,315.08456,0.34333333
1982-12-06,11.625,50.875,0.76644886,1.9046631,354.5243,0.336
1982-12-07,11.625,50.875,0.7174588,1.7458496,283.1462,0.32866666
1982-12-08,11.625,50.875,2.3966465,7.165619,719.88434,0.32133332
1982-12-09,11.625,50.875,3.0617304,6.212097,704.1811,0.31399998
1982-12-10,11.625,50.875,1.0624449,4.043274,840.9471,0.30666664
1982-12-11,11.625,50.875,2.7914705,1.7319641,534.2735,0.2993333
1982-12-12,11.625,50.875,2.9021802,0.3154602,430.77267,0.292
1982-12-13,11.625,50.875,1.783185,-1.1101379,129.68575,0.28466666
